SVPREC_KEY,factor_1,factor_2,cppi,cppi_unstd,fips,iwar
06001200100,1.0213298560037711,2.529576850176364,0.8351268317892158,3.550906706180135,06001,19.400624959258316
06001200200,1.1633139264398487,2.442429106226078,0.8391620662713511,3.6057430326659263,06001,17.96115053795473
06001201400,1.5031907126358013,2.5251270928570353,0.87025802772372,4.028317805492836,06001,14.947706992870236
06001202200,1.9851856926740223,2.1893265289599233,0.8810160194951256,4.174512221633946,06001,4.955408621085899
06001202500,2.2372561609133843,2.118698857551082,0.8943678298228163,4.355955018464466,06001,-5.040802314859705
06001202620,2.5090154728538705,2.213279564938847,0.9213256509044772,4.722295037792717,06001,-5.30657781697249
06001203100,1.0724687695363293,2.6291215062885556,0.8462151663857954,3.701590275824885,06001,20.89751793836019
06001203500,1.5821354427332208,2.4872052139422225,0.8732767715794094,4.069340656675443,06001,10.909426983413296
06001203800,1.9851582120982958,2.681758371733771,0.9172505229498854,4.666916583832067,06001,11.181199789880115
06001203880,1.9036311394514545,2.5230996625898867,0.8995759993099455,4.426730802041341,06001,15.869319548658488
06001203890,1.8705909278073398,2.78792153100458,0.9166320895637201,4.65851245881192,06001,14.916878921726951
06001204210,2.0463670974801955,2.3960983197439476,0.900733860636875,4.442465417224144,06001,2.682441776357436
06001204300,2.1775376236311264,2.5852810881205452,0.924307661862931,4.762818711751672,06001,6.852504642821799
06001204900,2.438837911949231,2.164568981382738,0.9125770426225307,4.603406893331969,06001,0.2826007500046135
06001205200,1.242379117134747,2.594380391098175,0.8561618492234581,3.836759508232922,06001,20.76001575195493
06001205700,1.2079318591562287,2.5509118013492693,0.8504282646527269,3.758843660505498,06001,19.283177196747715
06001206200,1.7777979992728359,2.549937930040303,0.8922912749385755,4.327735929313139,06001,11.171352913606135
06001206900,2.005105429959372,2.4277708141982224,0.9000282232557252,4.432876244157594,06001,8.831566915472566
06001207000,1.6650460696924918,2.638921453311683,0.8905422319433598,4.303967523004175,06001,13.999652138214035
06001207200,1.9041311057030232,2.543672715110932,0.9011266971309597,4.447803820813956,06001,10.395648346893903
06001207700,2.3007132963511254,2.1304466590718443,0.8999019269130071,4.43115995542297,06001,-5.506585812389442
06001208010,1.9701380508674626,2.4627295627731227,0.9000275881628577,4.432867613640585,06001,6.7190508093308505
06001208300,2.024469183174943,2.397090754352641,0.8991954914946788,4.421559937527585,06001,7.556005983677405
06001208510,2.2956855564032015,2.3568421803732718,0.9161916925081354,4.652527736776474,06001,4.099022504870698
06001208690,2.304695473640725,2.4301413431703818,0.9222485613619353,4.734836816811107,06001,8.39717650354218
06001208800,2.1054855541743103,2.319636135250862,0.8994575897239918,4.425121689425172,06001,1.0375726767886895
06001208820,1.8616584938980012,2.3585443659547374,0.8843782512613074,4.220202859852739,06001,9.650633410825959
06001208900,2.1185141503476643,2.323193412236424,0.9006780924741993,4.441707562584089,06001,7.981377229906206
06001209010,1.9349608554025837,2.4350395570605285,0.8954013866237663,4.370000412463112,06001,10.540170121980141
06001209310,1.6982347764966774,2.550304652439524,0.8864634511278708,4.248539428936201,06001,12.486452151905514
06001209700,1.7830902491607452,2.259150450544597,0.8712825701469251,4.042240699705342,06001,6.73807812483772
06001209900,1.9946368677886304,2.3570250525853,0.8940519141048913,4.35166192037393,06001,6.43999686914567
06001213100,0.7097279873796768,2.2397111217415593,0.7908667045509685,2.949439109121236,06001,19.378285075692602
06001213500,0.4548846115207032,1.9472184096257146,0.75058994647737,2.402103021146418,06001,25.285545619245507
06001213600,0.7096593266175589,2.1425367937414426,0.7837108958645324,2.8521961203590016,06001,25.391616172960507
06001213920,0.8998178402656382,2.244288206968599,0.8051916382499615,3.1441060472342373,06001,17.593659093527382
06001214300,0.6155969318876413,2.174817057088494,0.7791645412322511,2.7904139889761352,06001,28.002240038011106
06001214600,1.5857305898853538,2.457095872364638,0.8713256745882688,4.042826462249992,06001,14.896093840127577
06001215110,2.1510947607356856,2.5174005471487053,0.9173666963360689,4.668495307884391,06001,8.963766649170669
06001215400,2.027368036838563,2.419927719504158,0.9010893102488532,4.4472957563427205,06001,7.40109899630168
06001215500,1.4727481094905939,2.416586285668671,0.8600306714115111,3.889334395159265,06001,18.871691464292482
06001215700,2.2192178924358856,2.4716115891736425,0.9190101986222592,4.690829481609528,06001,5.6737739723057405
06001215800,2.5970058307635124,2.3382910512452675,0.936999793240795,4.93529688200878,06001,-2.3196854199781014
06001223010,2.1189053656490318,2.4963097825553624,0.9134459753225977,4.615215148204394,06001,8.869731515083446
06001224000,0.936544410673207,2.305863666914309,0.8124253785087707,3.242408077587516,06001,23.691829940716513
06001224500,1.5806490263517607,2.267556820574063,0.8570041496390369,3.848205846925824,06001,11.52943133359068
06001224600,1.5576637028168794,2.4354094001733806,0.8676644798337485,3.9930731029902597,06001,14.517376037615538
06001224800,1.6653970836819663,2.114078420142325,0.8519464977461049,3.7794755038242913,06001,6.251548155204311
06001225300,2.063835980950239,2.276492833582551,0.8932179461422177,4.34032881453279,06001,6.544675562648317
06001225710,2.002791201057968,2.3182763709350294,0.8918005712915249,4.321067571992997,06001,7.875205727591461
06001225900,1.7864258993802697,2.4187933085396778,0.883275650981123,4.2052192079199475,06001,10.278632227393192
06001244000,0.8500470465422649,2.207831098060369,0.798846395446153,3.0578781446026335,06001,22.50962782639818
06001244300,0.8036877658183117,2.235404032830875,0.7974639667562168,3.0390917986491868,06001,25.252389357291094
06001245000,1.1012670674828255,2.386848548697845,0.830506231034671,3.4881156161806706,06001,22.523504794957606
