SVPREC_KEY,factor_1,factor_2,cppi,cppi_unstd,fips,iwar_x,iwar_y
0609546037,-0.3637654921802308,-0.30094084954428935,0.44838276205157834,-0.6647063417245201,06095,-1.8627735587672338,-1.8627735587672338
0609546270,0.13196676360705226,-0.18125919038460658,0.4920783453732525,-0.04929242677755433,06095,-6.303135029690493,-6.303135029690493
0609546035,-0.5593367376927146,-0.38875595536441065,0.4282617806663164,-0.9480926930571253,06095,-0.9556947523133165,-0.9556947523133165
0609539400,-1.0475194116216284,-0.6465132284090035,0.3752985955411395,-1.694032640030632,06095,11.486912945966116,11.486912945966116
0609535035,0.8373898668879569,0.40368706979351854,0.5836970765513062,1.2410769366814756,06095,0.2279337631064804,0.2279337631064804
0609549905,-1.4731913053399306,-0.7460261943296067,0.3380094504043885,-2.2192174996695373,06095,4.18233737894321,4.18233737894321
0609517288,0.827103218625701,0.39884912401446726,0.5826232009968422,1.2259523426401682,06095,7.2326386617148355,7.2326386617148355
0609556240,-0.8048866648575195,-0.8851995816690298,0.37557879714527875,-1.6900862465265494,06095,-7.096747570794023,-7.096747570794023
0609549695,-1.733642909564868,-1.37795625461822,0.2746486188901281,-3.111599164183088,06095,5.977172990629242,5.977172990629242
0609546278,0.202826029458969,-0.056983057829811265,0.5059333376849283,0.1458429716291577,06095,-3.142971231351938,-3.142971231351938
0609529830,1.1230115589715715,1.3764238630388628,0.6730429732052119,2.4994354220104342,06095,13.878919936585977,13.878919936585977
0609556125,-0.2501847054709545,-0.37383099909329287,0.4512718763261587,-0.6240157045642474,06095,0.610285543818681,0.610285543818681
0609546399,0.7255719379696449,0.014762293189992885,0.5481433718325307,0.7403342311596378,06095,-5.747482588522606,-5.747482588522606
0609527130,0.4090307279087356,0.3306610896048169,0.5480977592158548,0.7396918175135525,06095,7.960381936509692,7.960381936509692
0609533030,-0.22160401853552902,-0.02051231784092202,0.4783874732566939,-0.24211633637645105,06095,8.527054665372255,8.527054665372255
0609553100,0.6328472118514891,0.28200689516526345,0.5605346220002491,0.9148541070167525,06095,-2.5363702444102465,-2.5363702444102465
0609539405,-1.0922294760251439,-0.9564158843773923,0.3501204036062507,-2.0486453604025363,06095,2.0851091800662274,2.0851091800662274
0609559300,-1.1864087847305553,-1.5280947104670926,0.3028431826941079,-2.714503495197648,06095,2.2366802079058057,2.2366802079058057
0609549735,-2.001359986002216,-1.32880490204203,0.25913002796086665,-3.330164888044246,06095,16.175328667791018,16.175328667791018
0609517050,1.3032215066785973,0.7153061972237309,0.6388975911196609,2.018527703902328,06095,5.23343987446977,5.23343987446977
0609549733,-1.3177489623818301,-1.1081515674353875,0.3233345538093509,-2.4259005298172176,06095,-3.194000815118725,-3.194000815118725
0609546042,-0.3981099733861668,0.789854481048001,0.5233928243745808,0.3917445076618342,06095,24.760286166925443,24.760286166925443
0609559545,-0.10547866566649064,-0.9757628060839296,0.41880795875513427,-1.0812414717504202,06095,26.852774906298794,26.852774906298794
0609546165,-1.0025429860682626,-0.86333694099641,0.36309710437101106,-1.8658799270646726,06095,2.057118998228874,2.057118998228874
0609549730,-1.415127466154028,-1.4210869874548397,0.29420146823941185,-2.836214453608868,06095,0.05534228732396729,0.05534228732396729
0609535042,1.109365392600551,0.5669749018178066,0.6146016203923444,1.6763402944183574,06095,-2.4356720402816445,-2.4356720402816445
0609549220,-1.1400908093749753,-0.8504303448075895,0.35424733514648044,-1.9905211541825647,06095,-3.6308156236884717,-3.6308156236884717
0609542005,-0.14633518468230283,-0.4139583026711118,0.4557962775201384,-0.5602934873534147,06095,-6.728436059417642,-6.728436059417642
0609559700,-1.0774256338176538,-0.82753337564618,0.3603224136147023,-1.9049590094638338,06095,-3.822834102400205,-3.822834102400205
0609546284,1.1663376637321072,0.5965245033291608,0.6207448414073282,1.762862167061268,06095,-2.361023432986664,-2.361023432986664
0609521060,0.09980885551704136,0.6202802405942993,0.5467059279205944,0.7200890961113406,06095,14.650918059135359,14.650918059135359
0609529565,-0.4357525032231043,-1.5149887243502649,0.3570717872029991,-1.9507412275733693,06095,5.3743419605966345,5.3743419605966345
0609556130,-0.225757414095887,-0.30263972760253877,0.4580609800160913,-0.5283971416984258,06095,5.377993921524834,5.377993921524834
0609539250,-1.2127655052387618,-1.0662972923650809,0.3337603180094471,-2.2790627976038427,06095,10.034081545145051,10.034081545145051
