fips,cppi,avg_f1,avg_f2,cnty_name,iwar
06001,0.7313907631565052,0.9115725306343445,1.2296255320754659,Alameda,7.829247090785008
06003,0.6844402336892181,0.7514267505742824,0.7517428223545639,Alpine,-2.1487196437314555
06005,0.42192483642080114,-1.1275244802708193,-0.9367268974015137,Amador,-3.495641322047577
06007,0.5461973276245401,-0.15807656057249697,-0.2173889656157777,Butte,-5.622150742009792
06009,0.4168161254476195,-1.16541386783615,-0.968261714076895,Calaveras,-4.433456243752731
06011,0.42323890726342656,-0.9089106289864995,-1.1374833433551927,Colusa,-4.309942928828826
06013,0.6544223095305348,0.3475088964237951,0.7477357599038741,Contra Costa,7.28947575553947
06015,0.4723604745863134,-0.6074752603833151,-0.7713871682186563,Del Norte,-3.082680703802292
06017,0.45266387596259605,-1.0175146919076705,-0.6290122596783974,El Dorado,2.905191823863825
06019,0.5300767613477746,-0.104810964333935,-0.48972302972209825,Fresno,-0.6673997693645475
06021,0.4163447883778824,-1.0120373122128932,-1.128043447281625,Glenn,-6.667471534047915
06023,0.6617003864402891,0.46129784012244834,0.7328513540651327,Humboldt,-2.4599019725303397
06025,0.5754247307551653,0.4797241023205676,-0.4580074009336408,Imperial,-13.565789787113985
06027,0.5402592226069199,-0.267661815650617,-0.18849886391591097,Inyo,-3.14950996426974
06029,0.49579589936384516,-0.20349701264808973,-0.8568925712844253,Kern,-8.759692713388121
06031,0.47673808603338,-0.3488383889349618,-0.9705350232041412,Kings,-8.589366023757758
06033,0.5482910203675652,-0.20042531602138713,-0.1465882281753218,Lake,-8.933102248343666
06035,0.35949392376186895,-1.342499099950638,-1.5701495454709182,Lassen,-13.048555586633865
06037,0.6567376122783355,0.5729978871510268,0.5537102932801208,Los Angeles,3.278211607904753
06039,0.47551377834426867,-0.3999809223863784,-0.9360300696644743,Madera,-3.93841646477316
06041,0.7163747079502832,0.34543068332443694,1.5917085299027762,Marin,18.871515232237908
06043,0.4784802070137822,-0.6498440533172258,-0.6458550183883749,Mariposa,-3.9207083943428453
06045,0.6401688877663142,0.2707543423606622,0.6307951785634083,Mendocino,-2.7492864445348073
06047,0.544882975985516,0.07266410073111862,-0.4659908480984205,Merced,-7.719671688201508
06049,0.35822457481927084,-1.4373681138777747,-1.4925301940724054,Modoc,-7.417431718575334
06051,0.6233502757456866,0.11193529860279205,0.5610597470153145,Mono,-0.27111330235185077
06053,0.6511740709533405,0.5223175256619221,0.5287855889755835,Monterey,-0.24447887609934105
06055,0.6257373932474961,0.06668444275099983,0.6387500448050394,Napa,10.397916503552157
06057,0.5558119904162309,-0.39663106268996473,0.1518228230187677,Nevada,2.0462304053586307
06059,0.541007104274631,-0.19248127218843702,-0.25351616073532424,Orange,0.8038211853646111
06061,0.46210054244557364,-0.9328730105097351,-0.5854155136716774,Placer,4.254710601310865
06063,0.4676313943008343,-0.8905988315710103,-0.5525288563758957,Plumas,-3.085729686992131
06065,0.5403735874594049,-0.04505211859150693,-0.4095544137706577,Riverside,-4.093904736627176
06067,0.6121607456117278,0.26505108597769755,0.255885205591585,Sacramento,0.29235377271115054
06069,0.5776388161289349,0.0018948089109409594,0.0499099354288699,San Benito,-0.12210359303549799
06071,0.5373812709187957,-0.005674362974363856,-0.489595889797636,San Bernardino,-2.8060682917030273
06073,0.5900806880011773,0.09100638581406084,0.12987565777593169,San Diego,1.735764828847903
06075,0.7962276135662336,1.2340436247524336,1.7882469031210868,San Francisco,5.631586104897086
06077,0.5550065848553605,0.010860692188817467,-0.2666138924279573,San Joaquin,-6.75195175178666
06079,0.5464571724508587,-0.3468677964000153,-0.02506660023563234,San Luis Obispo,6.605256449066538
06081,0.6801797686164504,0.40698742157299517,1.0382850812485485,San Mateo,13.902768575275681
06083,0.642154155970158,0.3700237909920272,0.5585042898818562,Santa Barbara,4.418115863748229
06085,0.6556569258627302,0.3580261146192596,0.7539962096671566,Santa Clara,9.509983582370014
06087,0.7092751288683947,0.5910365459339659,1.2496238038790684,Santa Cruz,12.050942376222348
06089,0.40732732782223247,-1.083940347370108,-1.1786820917446454,Shasta,-8.470024555855543
06091,0.42281268823406615,-1.131517149976275,-0.9206688738439459,Sierra,-6.149718033472125
06093,0.47390691766837406,-0.6994950599289533,-0.658352169156111,Siskiyou,-8.802205136274473
06095,0.602257917435563,0.19494112321485924,0.19142189351625394,Solano,3.8905173747217443
06097,0.6763019966757198,0.3601737542203609,1.0324022401031656,Sonoma,10.31165635990339
06099,0.5083410488917274,-0.2479819830722243,-0.6419268225140531,Stanislaus,-6.380164630379568
06101,0.44443371236148654,-0.7920992914930212,-0.9662704638408688,Sutter,-11.502530700922037
06103,0.3974964698294573,-1.122982099298014,-1.2732355846318537,Tehama,-9.314530247365205
06105,0.5092816367758721,-0.5553943884270103,-0.32173241290848836,Trinity,-7.343563197261256
06107,0.47866414518061695,-0.3380678106516126,-0.9551316557858427,Tulare,-6.4535754237512695
06109,0.44154427013781256,-1.001602020249672,-0.7960334575200971,Tuolumne,-3.3441303000050633
06111,0.5697673453210947,-0.07311999912250844,0.017956351649389912,Ventura,3.570815758532596
06113,0.654510951737318,0.3498170382995225,0.7466322104782499,Yolo,7.589532003785393
06115,0.4557652780873828,-0.7141752906164149,-0.8902055353277705,Yuba,-7.73459319676586
